,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
280,CC1=CC=C(NS(=O)(=O)C2=C(C=NN2)C(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,0.5511239206790924,0.4298111281265952,0.45180722891566266,187,[37],52
281,ClC1=CC=C(NS(=O)(=O)C2=C(C=NN2)C(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,0.6387316673994065,0.4193877551020408,0.4429327286470144,188,[37],52
283,O=C(Nc1ccc(Cl)cn1)c1cccc(Cl)c1Cl,0.5013332697749138,0.29277566539923955,0.4759825327510917,189,[7],37
288,C\C(NCC1=CC=C(C)C=C1)=C/C1=NSC(NC2=CC=C(F)C(Cl)=C2)=N1,0.5127479374408722,0.34383066597831696,0.386085626911315,190,[1],65
289,FC1=C2NC=C(C(=O)C2=CC=C1)S(=O)(=O)C1=CC(Cl)=C(Cl)C=C1,0.6804537147283554,0.4510050251256281,0.4510050251256281,191,[4],16
290,ClC1=CC2=NC=CC(N3CCC(CC3)N3C=CC=C3)=C2C=C1,0.5200905081629753,0.4099162011173184,0.49540078843626806,192,[42],36
294,CN(C)c1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)c2ccccc12,0.5531784301996231,0.30936995153473346,0.46589446589446587,193,[0],68
295,CC1=CC=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1F,0.5929293006658554,0.39501039501039503,0.39501039501039503,194,"[5, 6]",40
296,CC1=CC(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)=CC(C)=C1,0.5057546281814576,0.4424552429667519,0.4475906607054148,195,[3],11
297,FC(F)(F)C1=CC=C(Cl)C(NC(=O)NCC2=CC=C(Cl)C(Cl)=C2)=C1,0.7040671110153198,0.30518394648829433,0.46279761904761907,196,"[10, 11]",66
298,ClC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1,0.5691763722896576,0.4229390681003584,0.42722305017386986,197,[3],11
299,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(Cl)c(Cl)c1,0.6004117745161056,0.33963886500429924,0.44607843137254904,198,[0],43
300,O=C(Nc1ccc(Nc2ccccc2)cc1)c1ccc(Cl)c(Cl)c1,0.5055852910876274,0.29620253164556964,0.4971590909090909,199,[0],25
301,COC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1Cl,0.600240415930748,0.46527068437180796,0.4734982332155477,200,[3],11
303,ClC1=CC=C(CCNC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1,0.6239862889051437,0.42951541850220265,0.4326205867727499,201,[3],11
304,CC1=CC=C(NC2=NC3=CC(Cl)=C(Cl)C=C3N3C=NN=C23)C=C1F,0.5368552339076996,0.4570552147239264,0.4617676266137041,202,[3],11
305,FC(F)(F)C1=CC=C(Cl)C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)=C1,0.7278456056118011,0.3652007648183556,0.4325337331334333,203,"[5, 6]",40
306,COC1=CC(=C(C=N1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1)C(F)(F)F,0.540871359705925,0.375,0.3972201901975128,204,[2],44
314,COC1=NC=CC(=C1C(=O)NCC1=CC=C(Cl)C(Cl)=C1)C(F)(F)F,0.52330536454916,0.4099274958170664,0.45335276967930027,205,[2],44
315,FC(F)(F)C1=CC=NC(OC2=CC=C(Cl)C=C2)=C1C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.5436809897422791,0.4568106312292359,0.45188492063492064,206,[2],73
316,CCSC1=NC=CC(=C1C(=O)NCC1=CC=C(Cl)C(Cl)=C1)C(F)(F)F,0.5620864599943161,0.41517323775388293,0.41517323775388293,207,[2],44
