,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
851,ClC1=CN=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.5657694679498673,0.2809786898184688,0.4132138857782755,535,[0],63
853,ClC1=CC=C(NC(=O)C2=C3N=CC=CN3N=C2)C=C1Cl,0.4414520815014839,0.35344827586206895,0.36392156862745095,536,[21],59
862,COC1=CC=C2N=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)SC2=C1,0.4372640493512154,0.41820212171970966,0.47890295358649787,537,[0],151
864,CS(=O)(=O)C1=CC=C2N=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)SC2=C1,0.5604735764861107,0.43108182317408017,0.4843173431734317,538,[0],151
865,FC(F)(F)C1=NN=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)S1,0.5210867585241794,0.30289775833788957,0.4204946996466431,539,[0],46
866,CC1=CC=C(NC2=NC(NC3=CC=C(F)C(Cl)=C3)=NC(NC3=CC=C(F)C(Cl)=C3)=N2)C=C1,0.5727429822087288,0.22252252252252253,0.30647709320695105,540,[1],1
867,COC1=CC=C(NC2=NC(NC3=CC=C(F)C(Cl)=C3)=NC(NC3=CC=C(F)C(Cl)=C3)=N2)C=C1,0.532837099134922,0.22714681440443213,0.3327495621716287,541,[1],1
868,OC(=O)C1=C(C=C(Cl)C(Cl)=C1)C(=O)NC1=CC=CC2=CC=CN=C12,0.4538135731220245,0.4136389044158748,0.422972972972973,542,[0],94
870,OC(=O)C1=C(C=C(Cl)C(Cl)=C1)C(=O)NC1=CC=CC2=NC=CC=C12,0.4856798303127289,0.4101978691019787,0.4292649098474341,543,[0],4
871,Fc1ccc(Nc2nnc(-c3cccnc3)s2)cc1Cl,0.4822728312015533,0.3521560574948665,0.35550628233555065,544,[1],66
872,CC(C)C1=CC=C(C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4969728019833564,0.3348115299334812,0.3501742160278746,545,[2],62
875,ClC1=CC=C(CNC(=O)C2=CC3=C(OCO3)C=C2)C=C1Cl,0.4001979494094849,0.32469775474956825,0.4524959742351047,546,"[2, 37]",19
876,ClC1=CC(C(=O)NCC2=CC=C(Cl)C(Cl)=C2)=C(Cl)C=C1,0.6409316807985306,0.31568228105906315,0.4007285974499089,547,[2],62
877,ClC1=CC=C(CNC(=O)C2=CC=CS2)C=C1Cl,0.4477521458268165,0.25576923076923075,0.3409090909090909,548,[2],79
880,CC(OC1=C(C)C=C(Cl)C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.5623580062389374,0.3173076923076923,0.41114982578397213,549,"[2, 24, 26]",91
882,ClC1=C(Cl)C=C(CNC(=O)CCC2CCCC2)C=C1,0.4705958244204521,0.3973333333333333,0.4099009900990099,550,[2],153
