matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
5331,CN1C(C2=CC=C(Cl)C(Cl)=C2)=CN=C1N,15,[7827],1,0.2538431729376316,[0.7542593753337861],0.7542593753337861
5783,FC1=CC=C(N2CCN(C3=CC=NC=C3)CC2)C=C1,19,[7222],1,0.2668332143872976,[0.5150078131258488],0.5150078131258488
6560,CC1=NC(NC(=O)C2=CC=CO2)=CC=C1Cl,16,[8495],1,0.2540715955942869,[0.5579164886474609],0.5579164886474609
6990,ClC1=CC=CC(N2CCN(CC3CCNCC3)CC2)=C1,20,[494],1,0.2733533605001866,[0.5510600369796157],0.5510600369796157
7319,O=C(NCC1=CC=C(Cl)C(Cl)=C1)C1=NNC=C1,17,[3013],1,0.2907886102795601,[0.5225618582963943],0.5225618582963943
8025,CN1C=CC(C(=O)NC2=CC=C(Cl)C(Cl)=C2)=N1,17,[6607],1,0.3511191016435623,[0.609358538389206],0.609358538389206
8117,ClC1=CC=C(N2CCN(CC3CCNCC3)CC2)C=C1,20,[494],1,0.3459137925971299,[0.5510600369796157],0.5510600369796157
9071,CN1C=C(NC(=O)C2=CC=C(Cl)C(Cl)=C2)C=CC1=O,19,[6696],1,0.3625400929898024,[0.7222034859657288],0.7222034859657288
9212,CC1=CN=CC=C1N1CCN(C2=CC=CC=C2F)CC1,20,[9023],1,0.5014529609680176,[0.5597329032421112],0.5597329032421112
9623,NC1CC2CC(NCC3=CC(O)=CC=C3Cl)CC2C1,19,[397],1,0.275471921954304,[0.5244891310572257],0.5244891310572257
14255,O=C(NC1=CC=C(Cl)C(Cl)=C1)N1CCCNCC1,18,[8907],1,0.3322142325341701,[0.6915749251842499],0.6915749251842499
