,SA_Activity,SMILES,Compound_ID
142,0.0,CCC[C@@H](N[C@H]1CCS(=O)(=O)C1)C(=O)O,BRD-A28751669
143,0.0,CN(C)C(=O)CN1C(=O)Oc2ccccc21,BRD-K64559358
144,0.0,Cc1ccc(cc1)NC1N(N)C(=O)NC1=O,BRD-K99733537
145,0.0,CC(=O)N[C@@H](Cc1ccccc1)C(=O)NN,BRD-K17909399
146,0.0,NC(=O)NC1=Nc2ccccc2NC1=O,BRD-K12961310
147,0.0,OC(=O)COCC(=O)Nc1cnccn1,BRD-K18420974
148,0.0,N#CC(c1ccccc1)c1ccccc1,BRD-K12971880
149,0.0,O=C1NC(=O)C(C#N)C(=N1)Nc1ccccc1,BRD-K91389396
150,0.0,CN(C)S(=O)(=O)Nc1cccc(c1)N,BRD-K22371574
151,0.0,NNC(=O)c1nc(no1)-c1ccccc1,BRD-K15312901
152,0.0,Cc1ccc(s1)C=Nn1nnnc1N,BRD-K71760540
153,0.0,CC1=CC(=O)n2nc(nc2N1)S(=O)(=O)C,BRD-K21798442
154,0.0,c1ccc(cc1)-c1nc2ccccc2o1,BRD-K47492555
155,0.0,CC1=C(C(=O)N)C(=O)N2CCOC2=C1,BRD-K84103085
156,0.0,C/C(=N\O)Cc1ncn(n1)-c1cc(on1)C,BRD-K22299207
157,0.0,N/C(=N/O)C1=CN=C2SCCN2C1=O,BRD-K32436622
158,0.0,CC(C)NC(=O)N[C@H]1CCCCNC1=O,BRD-A00013550
159,0.0,CC1=NNC(=NC1=O)NN1CCOCC1,BRD-K87286031
160,0.0,C[C@@H](SC(=S)N1CCOCC1)C(=O)O,BRD-A15234886
161,0.0,C[C@H]1CNC(=CC(=O)c2ccccc2)C(=O)N1,BRD-A01814315
162,0.0,CCOC(=O)CN1C=C(F)C(=O)NC1=O,BRD-K07294765
163,0.0,COC(=O)CN1C(=N)N(C)c2ccccc21,BRD-K29290527
164,0.0,CCc1nnc(n1N)SCC(=O)O,BRD-K13394555
165,0.0,C[C@@H](O)CN1C(=N)N(C)c2ccccc21,BRD-A48439278
166,0.0,O=C1NC=C(Nc2ccccc2)C(=O)N1,BRD-K89841319
167,0.0,CNC(=O)Nc1ccc(cc1)C(=O)NC,BRD-K52445987
168,0.0,NC(=O)NC(=O)C[n+]1ccc(cc1)/C=N/O,BRD-K56268516
169,0.0,CS(=O)(=O)N(CCC#N)Cc1ccco1,BRD-K53116056
170,0.0,CC(C)(C)C(=O)C[n+]1ccc(cc1)C(=O)N,BRD-K39011799
171,0.0,COc1cccc(c1C(=O)NN)OC,BRD-K04441764
172,0.0,CN(/N=C/c1ccc(o1)C)C1=NCCN1,BRD-K09603702
173,0.0,NC(=S)NC1=Nc2ccccc2NC1=O,BRD-K80682511
174,0.0,CC1(C)C[C@@H](CCO1)N1NC(=O)C=C1N,BRD-A93346602
175,0.0,CCN1C(N=O)C(=O)N(CC)C1=S,BRD-K33068337
176,0.0,OC(=O)CCN1C(=O)c2ccncc2C1=O,BRD-K25460182
177,0.0,O=C(Nc1nn[nH]n1)C1CCCCC1,BRD-K52239798
178,0.0,NCCOc1ccccc1Cc1ccccc1,BRD-K01229041
179,0.0,Nc1ccc(cc1)/C=C/c1ccccc1,BRD-K48379721
180,0.0,COC(=O)CSc1cc(nc(n1)N)C,BRD-K72982644
181,0.0,O=C(NC1CC1)C1=NNC(=O)c2ccccc21,BRD-K46092446
182,0.0,NC1=CC(=O)NC(=O)N1Cc1ccccc1,BRD-K75882205
183,0.0,CCN(CC)c1nc(nc(n1)C#N)OC,BRD-K75719781
184,0.0,CNC(=O)CN1C(=O)[C@H]2[C@H]3C[C@@H](C=C3)[C@@H]2C1=O,BRD-A37054063
185,0.0,O=C(C1CC1)N1CCN(CC1)c1ncccn1,BRD-K97510113
186,0.0,CS(=O)(=O)NCCc1ccccc1,BRD-K83960633
187,0.0,CCCC12CNCC(C)(CNC1)C2=O,BRD-K95391802
188,0.0,CCOCC(=O)N[C@H]1CCSC1=O,BRD-A57133804
189,0.0,CCNc1nc2nonc2nc1NCC,BRD-K79219702
190,0.0,CCc1c(nnc2cc(nn12)C)C(=O)OC,BRD-K48742362
191,0.0,NC(=NC(=N)N1N=CC[C@@H]1c1ccccc1)N,BRD-A42723963
192,0.0,CCSc1nnc2c(n1)NC(=O)NC2=O,BRD-K99991405
193,0.0,C/C=C/C(=O)c1cc(ccc1O)Cl,BRD-K46908740
194,0.0,OC(=O)CCc1nnc2ccc(nn12)Cl,BRD-K45619323
195,0.0,OC(=O)CCC1=Nc2ccccc2NC1=O,BRD-K73545881
196,0.0,NC(=S)CS(=O)(=O)c1ccccn1,BRD-K15020650
197,0.0,COC(=O)c1ccc(cc1)C(=O)NN,BRD-K50514984
198,0.0,S=C1NCN(CN1)Cc1ccncc1,BRD-K48820966
199,0.0,NC1=CC(=O)N=C2SC(=NN12)C1CC1,BRD-K97934413
200,0.0,C=CCON1C(=O)[C@H]2[C@H]3O[C@@H](C=C3)[C@@H]2C1=O,BRD-A12543328
201,0.0,CCN/1C(=O)CS\C1=N/N1CCOCC1,BRD-K87800675
202,0.0,Oc1ccccc1/N=C/c1ccncc1,BRD-K65995843
203,0.0,CN(C)/C=N/S(=O)(=O)c1c(noc1C)C,BRD-K81921258
204,0.0,CN1C(=O)/C(=C\NC(=O)C)C(=C(C#N)C1=O)C,BRD-K81587840
205,0.0,COC(=O)C1=C(C)NC(=C(C1)C(=O)OC)C,BRD-K72177560
206,0.0,COc1ccc2[n+](c3c([n+](c2c1)[O-])CCC3)[O-],BRD-K94153315
207,0.0,Nc1ncnc2nc(ncc12)N1CCOCC1,BRD-K34291222
208,0.0,CN(C)c1nc2c([nH]1)C(=O)NC(=O)N2C,BRD-K87267244
209,0.0,COc1cc(nc(n1)SCC(=O)N)C,BRD-K12080982
210,0.0,CN(C)CCNC1=C(Cl)C(=O)NN=C1,BRD-K23648827
211,0.0,Oc1ccc(cc1)/C=N/c1ccccc1,BRD-K20643289
212,0.0,C[C@]12[C@H]3CC[C@@H](O3)[C@@]2(C)C(=O)OC1=O,BRD-A43076080
