Score,Grow_or_Mut,Algorithm_Params,Round,SMILES,hit,sa_score,max_tan_sim_to_abx,hepg2_pred_tox,primary_pred_tox,max_tan_sim_to_ts,tan_sim_to_orig_mol
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(CSc1cc(Cl)ccc1Cl)N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1,0.7352598893642426,2.866829648141996,0.44127405441274054,0.1876365136355161,0.1972161099314689,0.44466800804828976,0.5034687809712587
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(CSc1cccc(Cl)c1Cl)N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1,0.7603137952089309,2.9334647250650736,0.44415069398545937,0.1774264961481094,0.1818103853613138,0.447561790247161,0.5014720314033366
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,O=C(N[C@H]1CCN(c2c(Cl)cc(Cl)cc2Cl)C1)c1ccc(Cl)c(C(=O)O)n1,0.8754190623760223,2.8991209246492726,0.48303030303030303,0.0556887798476964,0.0754611060023307,0.4829059829059829,0.5886319845857418
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Cc1nc(C(=O)N[C@H]2CCN(c3c(F)cc(Cl)cc3Cl)C2)ccc1Cl,0.7550387299060821,2.934581062948844,0.48930654569021387,0.1365162655711174,0.1511293061077595,0.4941022280471822,0.5951456310679611
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 4,Nc1nc(C(=O)N[C@H]2CCN(c3c(F)cc(Cl)cc3Cl)C2)ccc1Cl,0.8075491690635681,2.9710205278317865,0.4912959381044487,0.1596085775643587,0.1618444945663213,0.4980417754569191,0.5896452540747843
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1)c1ncc(Br)cc1Cl,0.7348650926351548,2.7645361045305012,0.46243127672571777,0.1396177293732762,0.1575941156595945,0.46604046242774566,0.6153846153846154
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,C=Cc1cnc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c(Cl)c1,0.7211910510063171,2.9241701312718256,0.4767090139140956,0.1491013087332248,0.1704489165917039,0.47390521895620874,0.5920542635658915
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1)c1ncc(Cl)cc1Cl,0.7961841595172882,2.716432086160813,0.44539877300613495,0.1577599503099918,0.1731991041451692,0.4575402635431918,0.6365546218487395
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CNc1cnc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c(Cl)c1,0.7868901681900025,2.8411228785245726,0.4716981132075472,0.1544167134910821,0.1718835750594735,0.4645577035735208,0.6071428571428571
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1cnc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c(Cl)c1,0.7875316667556763,2.916020680722374,0.46980676328502413,0.1343815376982093,0.1503063620999455,0.47574893009985736,0.5960975609756097
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1)c1ncc(F)cc1Cl,0.7213371104001999,2.755804761246921,0.46577017114914426,0.132240828871727,0.1519525559619069,0.4583931133428981,0.6112789526686808
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,Nc1cnc(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)c(Cl)c1,0.7807356953620911,2.807411649880674,0.45960832313341493,0.1408221334218979,0.1596694042906165,0.4574314574314574,0.6260245901639344
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1)c1ncc(O)cc1Cl,0.742465569972992,2.828860788801455,0.46896127842655194,0.1355678610503673,0.1480373902246356,0.4584070796460177,0.611336032388664
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2c(Cl)cc(Cl)cc2Br)C1)c1ncccc1Cl,0.7547905492782593,2.889424279042558,0.46731234866828086,0.1284944906830787,0.1416701234877109,0.4686162624821683,0.6035502958579881
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2c(Cl)cc(Cl)cc2Cl)C1)c1ncccc1Cl,0.7694837111234665,2.771056196378952,0.43962848297213625,0.1293265885673463,0.1524994753301143,0.4550853749072012,0.6508108108108108
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2c(F)cc(Cl)cc2Cl)C1)c1ncccc1Cl,0.7592407941818238,2.8160189977566787,0.48210800260247233,0.1141685144044458,0.133685203269124,0.4888010540184453,0.6005917159763313
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2c(O)cc(Cl)cc2Cl)C1)c1ncccc1Cl,0.7602728044986725,2.9104600999380796,0.4673913043478261,0.1033949743025004,0.1234634488821029,0.4739471805852962,0.6
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1cccnc1C(=O)N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1,0.7060917180776596,2.7861743364478393,0.4543239951278928,0.1046392098069191,0.1159570530056953,0.46488052136133234,0.6224489795918368
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CNc1c(Cl)ccc(N2CC[C@H](NC(=O)c3ncccc3Cl)C2)c1Cl,0.7032528704404831,2.970600241161936,0.45521472392638035,0.1738134991377592,0.1939302831888198,0.4585755813953488,0.6277145811789038
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)c(O)c2Cl)C1)c1ncccc1Cl,0.7544595897197723,2.891550800282511,0.4619598295800365,0.1229393471032381,0.1557080375030636,0.46336206896551724,0.6072144288577155
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,C=Cc1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.75270676612854,2.9472022191839127,0.4697986577181208,0.1548596814274788,0.1734353918582201,0.47050359712230216,0.6077844311377245
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CNc1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7776197969913483,2.754299581821275,0.4706948640483384,0.1814143154770136,0.1856631118804216,0.47048509643483344,0.5929892891918208
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,COc1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7280962282419204,2.6888962851179787,0.47828709288299154,0.145908835530281,0.1591827861964702,0.4804208065458796,0.5848513902205177
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7773044276237487,2.843619142260838,0.47650602409638554,0.1386723820120096,0.1556183326989412,0.4804208065458796,0.5848513902205177
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,Nc1ccc(Cl)c(C(=O)N[C@H]2CCN(c3ccc(Cl)cc3Cl)C2)n1,0.7646634304523467,2.7084219828313056,0.463980463980464,0.1737000130116939,0.1827560402452945,0.4668109668109668,0.6096579476861167
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2ccc(Cl)cc2Cl)C1)c1nc(O)ccc1Cl,0.7513566678762436,2.840346896723384,0.4654434250764526,0.1698978040367365,0.1742643471807241,0.45936395759717313,0.6125126135216953
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CNc1cc(N2CC[C@H](NC(=O)c3ncccc3Cl)C2)c(Cl)cc1Cl,0.7348411273956299,2.8831459554476506,0.45286506469500926,0.182582302019,0.1826432578265667,0.4561664190193165,0.6335078534031413
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,CSc1cc(N2CC[C@H](NC(=O)c3ncccc3Cl)C2)c(Cl)cc1Cl,0.7412697619199753,2.9625299114916057,0.4820886460230723,0.1596044406294822,0.1721585586667061,0.4692144373673036,0.5966958211856171
modified_score,mutate,0_minsize_10_maxsize_-2_mininc_2_maxinc_2_radius,Round 1,O=C(N[C@H]1CCN(c2cc(O)c(Cl)cc2Cl)C1)c1ncccc1Cl,0.7927529001235962,2.8336780103858406,0.4582571602681292,0.1407728612422943,0.1680157911032438,0.4653179190751445,0.6143724696356275
