Structure,ID,Mol Weight,Smiles,query_ID
,Z3592515797,358.36,"CSC1=C(F)C=C(NC(=O)N2CC[C@@H]3C(=O)OC[C@]23CO)C=C1F |&1:13,18,c:2,23,t:5|",450614896
,Z5278791651,388.43,"CO[C@@H]1[C@H](COC11CCOCC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,3,c:26,t:18,21|",450614896
,Z2838500880,302.3,CSC1=C(F)C=C(NC(=O)N[C@H]2CCOC2=O)C=C1F,450614896
,Z5876844643,302.3,CSC1=C(F)C=C(NC(=O)N[C@@H]2CCOC2=O)C=C1F,450614896
,Z1700631516,360.38,COC(=O)CC1(CCOC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z2950452740,300.32,"CSC1=C(F)C=C(NC(=O)N2C[C@@H]3OCC[C@H]23)C=C1F |&1:12,16,c:2,19,t:5|",450614896
,Z3592515998,358.4,CSC1=C(F)C=C(NC(=O)NC23CC(CO)(C2)OC3(C)C)C=C1F,450614896
,Z2838500848,302.3,CSC1=C(F)C=C(NC(=O)N[C@@H]2COC(=O)C2)C=C1F,450614896
,Z5106146045,302.3,CSC1=C(F)C=C(NC(=O)N[C@H]2COC(=O)C2)C=C1F,450614896
,Z6134149955,329.33,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N=[N+]=[N-])C=C1F |&1:11,15,c:2,20,t:5|",450614896
,Z2838500705,304.31,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2O)C=C1F |&1:11,15,c:2,18,t:5|",450614896
,Z5624345855,304.31,CSC1=C(F)C=C(NC(=O)N[C@H]2COC[C@@H]2O)C=C1F,450614896
,Z5624345852,304.31,CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@H]2O)C=C1F,450614896
,Z5106146062,330.35,CSC1=C(F)C=C(NC(=O)N2CC3CC2(CO)CO3)C=C1F,450614896
,Z1657179728,316.37,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC2C)C=C1F,450614896
,Z2293284096,344.38,CSC1=C(F)C=C(NC(=O)N(C)C2CC(C)(C)OC2=O)C=C1F,450614896
,Z2622658550,346.35,"COC(=O)[C@@H]1OCC[C@@H]1NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:4,8,c:22,t:14,17|",450614896
,Z3592515729,314.35,CSC1=C(F)C=C(NC(=O)NC2COC3(CC3)C2)C=C1F,450614896
,Z3175337938,344.38,CSC1=C(F)C=C(NC(=O)NC2(C)CC(C)(C)OC2=O)C=C1F,450614896
,Z2868870883,318.34,"CSC1=C(F)C=C(NC(=O)N(C)[C@@H]2COC[C@H]2O)C=C1F |&1:12,16,c:2,19,t:5|",450614896
,Z2952155590,342.4,"CC(C)(C)SC1=C(F)C=C(NC(=O)N2C[C@@H]3OCC[C@H]23)C=C1F |&1:15,19,c:5,22,t:8|",450614896
,Z2293283522,314.35,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CCO[C@H]2C=C)C=C1F |&1:11,15,c:2,19,t:5|",450614896
,Z5069733677,358.36,COC(=O)C12CC(C1)(CO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z3694503565,330.35,"CSC1=C(F)C=C(NC(=O)N[C@@H]2CO[C@H]3COC[C@@H]23)C=C1F |&1:11,14,18,c:2,21,t:5|",450614896
,Z3592517296,314.35,CSC1=C(F)C=C(NC(=O)N2CCC3CC2CO3)C=C1F,450614896
,Z3592516256,330.35,"CSC1=C(F)C=C(NC(=O)N2C[C@@H](O)[C@@H]3COC[C@H]23)C=C1F |&1:12,14,18,c:2,21,t:5|",450614896
,Z3592517396,366.39,CSC1=C(F)C=C(NC(=O)NC2(CCOC2)C2=NC=CC=N2)C=C1F,450614896
,Z3349749854,326.32,CSC1=C(F)C=C(C=C1F)N1C(=O)N2CC3CC2(CO3)C1=O,450614896
